X,Y,Z,cluster_size,eps_m_used
6051035.1265,2138931.4395,126.2888,1,0.3
6050980.3688,2138596.8424,123.4827,1,0.3
6050921.5381,2138589.3187,121.9204,1,0.3
6050911.0899,2138592.6303,121.3294,1,0.3
6050863.0518,2138557.2502,118.75,1,0.3
6050974.8052,2138579.4828,122.7497,1,0.3
6051102.3379,2138886.7486,126.7854,1,0.3
6051043.5735,2138685.5953,123.6055,1,0.3
6051062.9242,2138690.8603,123.9546,1,0.3
6051009.2982,2138621.1105,123.0923,1,0.3
6051040.5695,2138624.3885,123.1201,1,0.3
6051093.9523,2138652.1921,124.8053,1,0.3
6051072.3652,2138646.3077,123.9475,1,0.3
6051080.6883,2138630.4248,124.479,1,0.3
6051147.7162,2138629.8622,126.6235,1,0.3
6050960.1692,2138364.2515,119.0262,1,0.3
6050950.0371,2138346.5224,118.7079,1,0.3
6050942.8894,2138389.2356,119.3233,1,0.3
6050933.2974,2138358.9648,118.9565,1,0.3
6050917.0111,2138344.2735,119.1616,1,0.3
6050927.6564,2138318.8708,118.6342,1,0.3
6050957.4402,2138323.4643,118.8541,1,0.3
6050933.6824,2138425.9703,120.0227,1,0.3
6050970.4332,2138346.5143,119.5675,1,0.3
6050996.4146,2138328.8868,120.719,1,0.3
6050893.5868,2138350.7596,119.9662,1,0.3
6050851.0014,2138403.611,118.6572,1,0.3
6050836.2063,2138410.682,118.0374,1,0.3
6050785.3307,2138386.9893,116.7498,1,0.3
6050847.0977,2138484.9932,118.4321,1,0.3
6050826.2059,2138437.6211,117.7741,1,0.3
6050821.562,2138089.4681,118.2448,1,0.3
6050868.0342,2138081.6986,116.573,1,0.3
6050846.0913,2138068.2712,116.599,1,0.3
6050857.8423,2138042.8972,116.4139,1,0.3
6050918.4999,2138051.5943,118.4385,1,0.3
6050582.2887,2137445.7243,110.4263,1,0.3
6050651.8148,2137562.554,113.534,1,0.3
6050709.0976,2137466.208,111.332,1,0.3
6050688.3186,2137501.2577,111.4151,1,0.3
6050690.0558,2137485.3919,111.4638,1,0.3
6050643.2554,2137509.2166,111.9157,1,0.3
6050534.6307,2137387.6967,109.6203,1,0.3
6050459.2968,2137374.2171,107.5964,1,0.3
6050459.7807,2137390.3733,107.4747,1,0.3
6050472.2523,2137290.288,107.4851,1,0.3
6050384.0318,2137384.6564,106.0011,1,0.3
6050393.1232,2137363.2881,105.8239,1,0.3
6050435.8661,2137259.1388,106.1397,1,0.3
6050438.8278,2137290.5724,106.6617,1,0.3
6050414.8477,2137383.695,106.4699,1,0.3
6050419.7653,2137370.1656,106.4342,1,0.3
6050559.7715,2137237.9899,107.9942,1,0.3
6050527.2961,2137266.618,108.4314,1,0.3
6050519.3931,2137274.4151,108.3956,1,0.3
6050612.489,2137406.3119,109.9569,1,0.3
6050615.1211,2137396.1775,109.7543,1,0.3
6050397.4786,2137801.8657,108.2209,1,0.3
6050407.0476,2137092.6812,103.8818,1,0.3
6050365.8825,2137039.7251,103.0797,1,0.3
6050349.594,2136877.1639,102.3966,1,0.3
6050449.9065,2137088.1411,105.4329,1,0.3
6050455.0607,2137087.3324,105.6376,1,0.3
6050513.4037,2137105.722,106.4404,1,0.3
6050529.5905,2137082.8058,106.1231,1,0.3
6050552.3067,2137065.0463,106.2225,1,0.3
6050566.9774,2137087.7217,106.4314,1,0.3
6050449.0736,2136889.0469,104.4518,1,0.3
6050478.217,2137039.45,105.3899,1,0.3
6051020.6894,2138611.9182,122.8596,1,0.3
6050430.9296,2136687.293,101.7406,1,0.3
6050374.3799,2136691.4292,101.6143,1,0.3
6050243.0882,2136608.7288,98.3965,1,0.3
6050407.3396,2136759.7916,102.8574,1,0.3
6050312.9249,2136763.5059,101.0753,1,0.3
6050346.0817,2136726.1653,101.6415,1,0.3
6050350.9853,2136724.7726,101.7623,1,0.3
6050413.6293,2136668.0918,101.3663,1,0.3
6050439.1056,2136744.2055,102.411,1,0.3
6050379.7002,2136721.0569,100.7472,1,0.3
6050315.8989,2136735.8123,100.7392,1,0.3
6050298.8352,2136653.3263,100.0532,1,0.3
6050244.1251,2136690.5007,98.9694,1,0.3
6050237.3484,2136529.0126,98.4353,1,0.3
6050338.2618,2136545.7857,100.5606,1,0.3
6050131.3373,2136335.4756,94.8895,1,0.3
6050175.569,2136292.7985,96.4355,1,0.3
6050326.8407,2136366.1115,98.0592,1,0.3
6050338.3044,2136393.4648,96.6974,1,0.3
6050364.6055,2136513.8396,98.0365,1,0.3
6050430.9215,2136667.2185,101.1634,1,0.3
6050130.5436,2135837.8292,89.0485,1,0.3
6050121.8194,2135839.0615,89.0708,1,0.3
6050078.397,2135913.6634,89.9169,1,0.3
6050113.9529,2135991.6984,92.0832,1,0.3
6050313.182,2135774.0556,89.73,1,0.3
6050310.1346,2136024.8915,93.5796,1,0.3
6050353.1184,2136141.3799,95.0201,1,0.3
6050343.1533,2136164.1645,94.9032,1,0.3
6050308.5096,2136192.042,95.0324,1,0.3
6050202.5476,2136421.2536,97.3151,1,0.3
6050161.4765,2135710.5646,87.9757,1,0.3
6050269.7051,2135612.8747,85.5657,1,0.3
6050031.0484,2135655.3795,85.818,1,0.3
6049925.0468,2135633.3115,85.9297,1,0.3
6050360.7947,2135723.4016,89.6704,1,0.3
6050327.4036,2135734.6579,89.4714,1,0.3
6050342.356,2135741.8567,89.5144,1,0.3
6050334.3767,2135705.5869,88.9985,1,0.3
6050326.9625,2135697.7075,88.7118,1,0.3
6050058.5648,2135699.323,87.7912,1,0.3
6049945.8114,2135517.6594,82.935,1,0.3
6049938.2165,2135531.6239,83.6074,1,0.3
6049952.5239,2135625.3823,85.3908,1,0.3
6049994.5102,2135759.326,86.7847,1,0.3
6050382.7954,2135328.438,88.8528,1,0.3
6050376.4461,2135371.1686,88.7057,1,0.3
6050351.9819,2135367.5153,88.7113,1,0.3
6050261.8214,2135354.5121,87.0336,1,0.3
6049858.1284,2135629.7682,83.9746,1,0.3
6049933.8109,2135741.0856,85.7753,1,0.3
