X,Y,Z,cluster_size,eps_used
6050998.5161,2138651.4337,124.2237,1,1.0
6050990.6782,2138815.7578,124.7173,1,1.0
6050915.7346,2138717.4186,123.7316,1,1.0
6050938.7256,2138643.1627,122.9218,1,1.0
6050901.0954,2138671.8841,120.4985,1,1.0
6050884.885,2138622.8938,119.9553,1,1.0
6050861.8088,2138552.5128,118.725,1,1.0
6051075.0075,2138888.389,127.7197,1,1.0
6051056.101,2138734.7439,124.7111,1,1.0
6051051.3539,2138708.7804,124.2908,1,1.0
6051056.3004,2138629.3197,123.8191,1,1.0
6051148.3848,2138660.2815,126.3201,1,1.0
6051257.9561,2138615.0014,128.983,1,1.0
6051218.0275,2138609.1545,128.149,1,1.0
6051065.3148,2138540.9695,123.4442,1,1.0
6050990.7518,2138459.2579,120.4116,1,1.0
6050971.4062,2138399.8334,119.5809,1,1.0
6050967.4328,2138379.4292,119.3578,1,1.0
6050972.7613,2138346.5044,119.7158,1,1.0
6051016.0656,2138353.1314,121.454,1,1.0
6051034.3324,2138355.1439,122.2445,1,1.0
6051063.9516,2138319.2693,123.1995,1,1.0
6051014.8485,2138312.1615,121.1582,1,1.0
6050995.5792,2138309.0589,120.1843,1,1.0
6050914.828,2138229.8453,117.6867,1,1.0
6050865.549,2138392.8833,120.0258,1,1.0
6050649.737,2138456.5408,113.8405,1,1.0
6050881.3582,2138065.6381,116.8164,1,1.0
6050908.7282,2138068.6069,117.6138,1,1.0
6050939.7334,2138073.2019,119.0356,1,1.0
6050955.8154,2138035.3807,119.52,1,1.0
6050866.0599,2138022.0045,116.3089,1,1.0
6050822.6288,2137895.6226,115.7879,1,1.0
6050806.4907,2137847.491,116.1168,1,1.0
6050743.8184,2137846.6066,116.0708,1,1.0
6050758.1191,2137889.9406,116.3902,1,1.0
6050671.1979,2137785.8132,114.7377,1,1.0
6050708.2356,2137772.4438,115.7348,1,1.0
6050708.3149,2137740.7058,115.1257,1,1.0
6050624.6263,2137667.8307,113.5265,1,1.0
6050550.0004,2137472.9951,110.9192,1,1.0
6050551.953,2137471.6324,110.7298,1,1.0
6050619.2989,2137471.5677,111.7864,1,1.0
6050657.9368,2137580.3795,113.6827,1,1.0
6050747.3849,2137726.5244,114.396,1,1.0
6050702.2785,2137528.1629,111.6742,1,1.0
6050747.4801,2137529.0972,112.2092,1,1.0
6050786.6006,2137534.0588,112.9578,1,1.0
6050771.6756,2137479.7444,112.1729,1,1.0
6050497.1201,2137316.7779,108.4144,1,1.0
6050390.215,2137459.6261,106.7885,1,1.0
6050353.8799,2137391.1524,105.597,1,1.0
6050358.2273,2137351.8187,105.4033,1,1.0
6050382.0521,2137355.3071,105.8504,1,1.0
6050404.0237,2137249.1001,105.2303,1,1.0
6050432.515,2137384.6519,107.5119,1,1.0
6050644.7345,2137404.1421,109.9569,1,1.0
6050577.7205,2137256.2013,108.2725,1,1.0
6050562.9975,2137241.6125,108.0065,1,1.0
6050577.5921,2137362.099,110.077,1,1.0
6050465.9049,2137636.1656,109.4844,1,1.0
6050485.3663,2137650.1512,107.5134,1,1.0
6050531.0553,2137635.8292,103.447,1,1.0
6050535.0761,2137634.1908,103.2904,1,1.0
6050555.3151,2137682.0761,101.9983,1,1.0
6050531.1782,2137668.5314,104.0113,1,1.0
6050471.2363,2137689.7639,109.3654,1,1.0
6050560.136,2137575.5466,107.0338,1,1.0
6050551.6459,2137549.1807,108.4412,1,1.0
6050515.5292,2137512.8721,111.0968,1,1.0
6050525.0993,2137491.337,111.5917,1,1.0
6050484.2607,2137522.161,108.3397,1,1.0
6050483.5371,2137530.2527,108.3579,1,1.0
6050483.1742,2137538.8611,107.5586,1,1.0
6050482.6394,2137546.4557,107.2933,1,1.0
6050475.2904,2137561.8507,106.5098,1,1.0
6050474.7953,2137570.0881,106.4546,1,1.0
6050470.7372,2137699.632,109.8853,1,1.0
6050450.6598,2137757.6983,109.6954,1,1.0
6050368.0477,2137793.4395,108.0627,1,1.0
6050370.8717,2137751.9263,108.0982,1,1.0
