X,Y,Z,cluster_size,eps_used
6051054.000346154,2138683.71113077,123.43779999999998,13,1.5
6051060.322846154,2138696.1705692313,123.4112,13,1.5
6050963.1053461535,2138338.7313692304,119.02610000000001,13,1.5
6050948.537146153,2138354.4946692307,118.68759999999999,13,1.5
6050677.964892308,2138457.028369231,114.57899999999998,13,1.5
6050806.248896154,2137921.7750692302,115.38855,26,1.5
6050362.532146154,2137714.9226307687,108.12419999999999,13,1.5
6050376.334096154,2137056.71806923,102.90634999999999,26,1.5
6050474.825246154,2136704.387430769,102.23019999999998,13,1.5
6050437.607346154,2136395.3125307695,99.13010000000001,13,1.5
6050344.087646153,2136376.4930307698,98.08400000000003,13,1.5
6050437.358046154,2136699.957269231,101.76340000000002,13,1.5
6050319.6321461545,2135873.458169231,91.4584,13,1.5
6050316.4915,2136000.3823692305,93.02219999999998,13,1.5
6050339.909,2135926.516069231,92.4729,13,1.5
6050039.283946153,2135959.7009692313,90.07380000000002,13,1.5
6050037.998546153,2135951.1097692307,90.3602,13,1.5
6050327.352946154,2135670.505669231,88.1172,13,1.5
6050401.9062,2135377.6731,88.836,2,1.5
6050400.64035,2135379.7671666667,88.836,6,1.5
6050399.372,2135377.6731,88.836,2,1.5
6050400.640300001,2135381.6047,88.836,3,1.5
6050356.318446154,2135691.1105692303,89.16990000000001,13,1.5
6049894.840346154,2135661.701769231,84.58919999999999,13,1.5
