feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
1,junction box,6050240.834539308,2136719.374004804,102.47110990097276,8,485,0.191,30.77,0.94,0.743,7
2,junction box,6050561.961091597,2137046.290983771,107.44980303542621,4,5,0.129,48.98,0.96,0.658,4
3,junction box,6050320.88347795,2137054.409241974,104.52501687271442,8,73,0.241,73.08,0.93,0.677,6
4,junction box,6050368.288810892,2137777.591276158,110.18780828579548,8,72,0.121,66.89,0.96,0.632,8
5,junction box,6050357.430208048,2137032.504222604,108.35243830800644,4,3,0.284,30.63,0.91,0.731,2
6,junction box,6050362.512707797,2137035.415960137,108.98426915894278,4,3,0.287,27.29,0.91,0.716,2
7,junction box,6050355.452466183,2137031.3709784183,108.09716059703464,4,3,0.29,32.02,0.91,0.723,2
8,junction box,6050359.724691585,2137033.819601747,108.65383513113844,4,3,0.276,28.98,0.91,0.722,2
9,junction box,6050353.102790474,2137030.027719512,107.85094673903212,4,3,0.269,33.72,0.92,0.696,2
10,junction box,6050248.241811619,2136384.9856964354,105.36862082937806,7,6,0.294,30.09,0.91,0.59,6
11,junction box,6050243.159684317,2136400.4773797817,105.80502032010553,8,20,0.127,23.3,0.95,0.578,7
12,junction box,6050241.564736297,2136405.275885843,105.94977451179444,8,20,0.258,22.18,0.92,0.571,6
13,junction box,6050102.869925009,2135689.1534005436,91.0113173113209,8,274,0.136,33.21,0.96,0.698,7
14,junction box,6050620.190542274,2137325.121313617,110.77031708253405,6,12,0.109,33.65,0.96,0.656,6
15,junction box,6050393.99999946,2137484.8086100738,108.5402509357164,4,3,0.179,17.13,0.93,0.611,4
16,junction box,6050388.699318753,2137487.7326966487,107.63153578314464,4,3,0.19,15.58,0.92,0.645,4
17,junction box,6050212.883661555,2136705.086074262,100.01916988687074,8,252,0.203,37.61,0.94,0.717,6
