feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
1,manhole,6050327.035969806,2135697.8811970474,88.46255834350974,8,31,0.144,63.68,0.95,0.735,8
2,manhole,6050218.888860235,2136314.047562647,90.49406327031713,8,8,0.295,28.41,0.91,0.575,6
3,manhole,6050019.879645,2135984.579793086,90.00095261934543,8,64,0.145,54.13,0.95,0.698,8
4,manhole,6049992.02683169,2136011.510103824,98.77524930162461,8,76,0.324,42.7,0.9,0.799,5
5,manhole,6049974.184413432,2136009.7169309594,99.24787869154703,6,10,0.329,38.87,0.9,0.671,3
6,manhole,6049653.618886471,2135931.396793968,82.56535824079693,8,324,0.261,86.5,0.92,0.693,6
7,manhole,6050035.408299668,2135990.1612232747,90.16006428912785,8,155,0.328,79.42,0.9,0.679,6
8,manhole,6050020.329222596,2135984.521134353,90.10332408613968,5,12,0.087,15.35,0.95,0.749,5
9,manhole,6050028.389288711,2135966.030348219,89.87967029856513,8,25,0.253,43.82,0.92,0.785,6
10,manhole,6050033.765961877,2135983.5261160177,90.26098568963222,8,75,0.272,66.15,0.92,0.642,7
11,manhole,6050078.261168232,2135913.5515774293,90.24753282892353,8,62,0.201,91.19,0.94,0.7,6
12,manhole,6049994.572347295,2135759.237824611,88.16302574641593,8,280,0.307,88.5,0.91,0.674,5
13,manhole,6049744.29878722,2135465.1890161308,80.56323517736229,4,3,0.306,74.19,0.91,0.687,2
14,manhole,6049838.338823178,2135599.0635789842,83.20428607242943,4,4,0.263,42.67,0.92,0.602,3
15,manhole,6049858.049864943,2135629.709023713,83.74382555744928,8,216,0.165,53.81,0.95,0.698,8
16,manhole,6049887.040039736,2135636.568514929,84.47378089064007,8,49,0.226,69.04,0.93,0.747,7
17,manhole,6049952.605537581,2135625.765404913,85.18038729966254,6,12,0.208,37.67,0.93,0.618,4
18,manhole,6049957.95165778,2135594.355078626,84.49933349822439,4,4,0.154,14.48,0.92,0.582,4
19,manhole,6050058.905317007,2135699.724133435,87.75571431255356,8,2850,0.25,80.73,0.92,0.728,6
20,manhole,6050048.347446308,2135708.445692867,85.12708529604973,8,112,0.134,30.85,0.96,0.598,8
21,manhole,6050222.681227827,2136166.3011980327,93.95345927227378,7,20,0.224,73.06,0.93,0.684,5
22,manhole,6050270.881828434,2136331.2871052492,97.8720304876349,8,26,0.286,64.09,0.91,0.7,5
23,manhole,6050244.538278194,2136391.19091278,97.66813870339233,8,31,0.247,87.55,0.92,0.597,6
24,manhole,6050312.777956418,2136642.0373925893,99.7556906151838,6,12,0.304,81.02,0.91,0.686,4
25,manhole,6050377.079223629,2136651.6422593826,101.58780893220407,8,46,0.163,47.96,0.95,0.639,8
26,manhole,6050374.416608033,2136691.5392144592,101.47259587068366,8,48,0.191,71.78,0.94,0.733,7
27,manhole,6050428.240242894,2136710.5349036073,102.13159690114298,8,299,0.334,46.4,0.9,0.626,7
28,manhole,6050432.74554857,2136714.5822275407,101.83572267633308,6,44,0.299,26.6,0.91,0.679,5
29,manhole,6050430.920070009,2136687.2809127676,101.48450511508246,8,27,0.131,45.91,0.96,0.732,8
30,manhole,6050439.208359497,2136744.3799719224,102.50183453896547,8,140,0.332,66.2,0.9,0.679,4
31,manhole,6050418.977599385,2136681.878465861,107.22092122811596,4,3,0.097,38.85,0.97,0.827,4
32,manhole,6050399.7619178025,2136725.064399638,102.52261246496626,8,46,0.251,62.03,0.92,0.627,6
33,manhole,6050351.010915588,2136724.862137059,101.64954239164051,6,534,0.221,88.81,0.93,0.786,5
34,manhole,6050315.792917035,2136735.9133385033,100.76768412359105,8,680,0.249,83.39,0.92,0.681,5
35,manhole,6050257.375708249,2136715.705158078,99.31917603970736,8,783,0.223,34.62,0.93,0.664,7
36,manhole,6050121.468508337,2136692.4857323174,96.26430626100753,8,27,0.284,28.92,0.91,0.702,7
37,manhole,6049858.294066609,2136633.7595109884,93.29133937188439,8,156,0.324,85.92,0.9,0.664,5
38,manhole,6050010.05421371,2136669.8872739295,92.73299893599433,4,3,0.239,48.14,0.93,0.611,3
39,manhole,6050256.131939051,2136666.9225214035,99.20016317380494,6,9,0.168,55.24,0.95,0.636,5
40,manhole,6050244.13868294,2136690.554425796,98.69740958712096,8,129,0.087,42.62,0.97,0.73,8
41,manhole,6050449.051730069,2136722.6917419424,95.08773082989785,8,27,0.259,23.04,0.92,0.609,6
42,manhole,6050449.265143328,2136889.060801841,104.26701318184652,8,66,0.173,71.83,0.95,0.782,8
43,manhole,6050507.770200048,2137038.2687998586,105.65747970996571,8,96,0.232,62.85,0.93,0.72,6
44,manhole,6050529.456539814,2137082.72940753,105.98274528719041,8,24,0.213,39.36,0.93,0.736,6
45,manhole,6050513.219668929,2137105.8952635042,106.37402031734645,8,233,0.155,79.3,0.95,0.669,8
46,manhole,6050680.733639972,2137097.1856123093,107.5554262480176,6,6,0.216,30.94,0.93,0.76,6
47,manhole,6050711.033839322,2137093.4673498697,108.21789529105105,4,4,0.067,73.34,0.98,0.682,4
