feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
1,parking meter,6050871.070214214,2138092.1410669265,120.6433455715287,8,28,0.083,48.37,0.97,0.639,8
2,parking meter,6050877.617367607,2138113.0337206335,120.89359143826647,7,19,0.103,58.83,0.97,0.59,7
3,parking meter,6050884.427680119,2138132.2584994887,121.21568293424035,4,4,0.083,38.89,0.97,0.591,4
4,parking meter,6050987.982252888,2138452.6772868377,124.27060952339373,8,80,0.111,52.63,0.96,0.588,8
5,parking meter,6050964.074868207,2138378.3739396194,123.22750515009656,8,1500,0.171,75.53,0.95,0.655,8
6,parking meter,6050975.581769062,2138414.493593635,123.74371774141699,8,952,0.13,57.49,0.96,0.587,8
7,parking meter,6050970.899806206,2138400.121540526,123.46887684731662,8,39,0.098,34.77,0.97,0.662,8
8,parking meter,6050982.593840029,2138435.813487282,123.9703066438753,8,60,0.127,52.63,0.96,0.603,8
9,parking meter,6050984.967660559,2138430.708202155,122.72253228626606,4,3,0.319,64.94,0.9,0.555,2
10,parking meter,6051007.273790989,2138380.7218150403,113.6923128560109,4,5,0.281,33.86,0.91,0.702,3
11,parking meter,6051002.171593176,2138385.904456398,115.16346272786699,4,4,0.204,39.2,0.94,0.664,4
12,parking meter,6050975.195389007,2138453.5047661494,126.86062643621725,4,3,0.327,42.26,0.9,0.652,2
13,parking meter,6050987.315620378,2138383.0771203106,118.22642559537576,4,4,0.238,43.76,0.93,0.627,3
14,parking meter,6050994.85016387,2138409.4159368495,118.83559231483059,4,4,0.278,64.52,0.92,0.555,3
15,parking meter,6051017.334004498,2139034.2950415458,130.38667410830823,5,7,0.09,30.11,0.97,0.594,5
