feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
1,water valve,6050038.064046678,2135950.4099736186,90.1473830228395,7,15,0.155,54.86,0.95,0.542,7
2,water valve,6050507.0787731595,2136682.357014204,101.56903399283875,6,5,0.156,25.85,0.95,0.653,6
3,water valve,6050256.1011030795,2136666.7011105865,99.06259981323181,7,7,0.22,25.04,0.93,0.542,6
4,water valve,6050368.91706616,2137020.144563298,102.91057520018563,8,56,0.051,41.63,0.98,0.681,8
5,water valve,6049758.76527151,2135470.6556358743,80.67143541991022,6,11,0.073,35.34,0.98,0.596,6
6,water valve,6050418.026158017,2137139.4403952006,103.97513077446864,7,18,0.097,62.4,0.97,0.546,7
7,water valve,6050343.380742298,2135187.1439007944,89.7729409817074,4,4,0.077,47.94,0.98,0.603,4
8,water valve,6050331.734746746,2135706.953467219,88.9071446382042,8,16,0.122,29.38,0.96,0.639,8
9,water valve,6050330.226448705,2135681.951043006,88.31828687446823,8,12,0.14,13.99,0.92,0.592,8
10,water valve,6050340.389690695,2135904.615400763,92.03755786415742,4,3,0.062,40.07,0.98,0.649,4
11,water valve,6050325.46181107,2136016.79695802,93.11416133544851,6,11,0.126,45.27,0.96,0.603,6
12,water valve,6049713.099457328,2135617.6274727685,82.0286927463702,4,5,0.123,83.32,0.96,0.627,4
