feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
1,traffic sign,6050384.140553564,2136056.321274394,103.81668281114453,4,9,0.265,18.57,0.91,0.651,2
2,traffic sign,6050324.924959501,2136013.6315443707,101.91254060740806,4,3,0.236,58.97,0.93,0.804,3
3,traffic sign,6050374.123548918,2136022.6320662117,102.35891817482917,4,3,0.277,70.28,0.92,0.696,3
4,traffic sign,6050296.1801359765,2135764.845907766,94.09341075108152,4,3,0.279,64.48,0.92,0.749,2
5,traffic sign,6050322.018251594,2135861.2684783665,101.30644554172461,4,4,0.296,23.87,0.91,0.795,2
6,traffic sign,6050340.660141969,2135806.5974245393,95.94370812901543,4,3,0.25,59.38,0.92,0.716,3
7,traffic sign,6050321.287777853,2135732.897137221,99.22471423164754,4,3,0.303,72.53,0.91,0.751,2
8,traffic sign,6050205.123163503,2135796.662942172,94.75131437432799,4,3,0.117,75.38,0.96,0.62,4
9,traffic sign,6050244.534652694,2135809.990766276,89.70529534947077,4,3,0.33,84.91,0.9,0.713,3
10,traffic sign,6050162.612393756,2135741.9543578913,97.54256289222195,4,13,0.149,42.05,0.95,0.62,4
11,traffic sign,6050099.3511801865,2135810.836346376,98.76743584514027,5,11,0.317,103.93,0.9,0.655,3
12,traffic sign,6050155.70549327,2135846.7700657765,98.5794276102138,5,4,0.192,36.75,0.94,0.712,5
13,traffic sign,6050147.124283849,2135864.398288623,98.986141676086,4,3,0.273,45.27,0.92,0.663,2
14,traffic sign,6050180.034960888,2136009.1359715573,103.64971741742501,4,3,0.166,35.63,0.95,0.738,4
15,traffic sign,6050235.9939508075,2136278.449437715,104.55943003880897,8,106,0.298,39.82,0.91,0.594,5
16,traffic sign,6050228.5137173245,2136306.3704202217,107.37044016539039,4,3,0.262,92.99,0.92,0.581,4
17,traffic sign,6050184.220194795,2136203.673616272,105.36128567198942,5,4,0.306,73.12,0.91,0.651,3
18,traffic sign,6050278.387842075,2136289.050973426,107.60274116182532,7,6,0.326,27.66,0.9,0.581,6
19,traffic sign,6050178.506019422,2136122.3524362817,100.07090688078101,8,36,0.105,40.87,0.97,0.67,8
20,traffic sign,6050176.69257998,2136112.3945441092,99.6073536334831,8,39,0.148,32.65,0.95,0.713,7
21,traffic sign,6050192.192671895,2136197.974732706,103.18020980631778,8,34,0.199,29.97,0.94,0.703,7
22,traffic sign,6050198.272816389,2136116.7539888243,107.8605435059701,5,6,0.283,23.81,0.91,0.626,3
23,traffic sign,6050107.883503585,2136157.7822560123,105.75500179836942,4,3,0.16,46.55,0.95,0.626,4
24,traffic sign,6050170.79888447,2136238.85317589,106.58865297496274,6,5,0.227,78.23,0.93,0.597,5
25,traffic sign,6050210.797836417,2136296.7969460017,106.22235404217874,8,14,0.249,37.97,0.92,0.648,7
26,traffic sign,6050294.003864962,2136145.0973994625,97.99733944990484,4,3,0.082,80.79,0.97,0.619,4
27,traffic sign,6050180.933526073,2136143.0557733458,97.87769405723621,4,3,0.314,71.88,0.91,0.769,2
28,traffic sign,6050261.777899644,2136191.1932582976,104.98708095354799,7,25,0.302,37.85,0.91,0.645,6
29,traffic sign,6050170.624215774,2136357.0065207784,105.91627608942687,4,3,0.332,45.51,0.9,0.744,2
30,traffic sign,6050166.3508684365,2136421.889777534,103.71296575892849,4,3,0.315,74.73,0.91,0.576,2
31,traffic sign,6050152.160124269,2136280.1510461424,105.35801479490067,5,7,0.332,89.97,0.9,0.686,3
32,traffic sign,6050075.513369813,2136109.389732502,99.1731479220684,4,3,0.288,66.4,0.91,0.65,4
