feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
1,traffic light,6050167.112536246,2136215.07045179,110.1224720411389,7,6,0.051,17.73,0.97,0.66,7
2,traffic light,6050255.1962529505,2136269.83740186,122.59334823546065,5,4,0.087,26.75,0.97,0.662,5
3,traffic light,6050202.499158885,2136282.3896531374,107.49252887073493,8,10,0.262,31.62,0.92,0.601,5
4,traffic light,6050178.706690856,2136321.9511605054,106.6027986309565,4,10,0.167,52.69,0.95,0.68,4
5,traffic light,6050178.919226,2136316.317362722,106.51018104888294,5,9,0.142,73.48,0.95,0.693,5
6,traffic light,6050161.73394276,2136290.0339833396,105.20704984738843,5,4,0.179,47.26,0.94,0.632,5
7,traffic light,6050124.787030996,2136146.147154687,103.5129574929256,5,4,0.305,105.39,0.91,0.587,3
8,traffic light,6049981.666240275,2135619.1924366592,95.22316555327875,4,3,0.27,25.2,0.91,0.592,3
9,traffic light,6049987.1509877425,2135685.1818575705,95.81643012674469,4,3,0.118,24.92,0.96,0.623,4
10,traffic light,6050017.740819191,2135704.655614695,97.08049758221763,4,7,0.283,48.47,0.91,0.639,3
11,traffic light,6050070.428690316,2135720.498166633,98.87875117041177,4,3,0.288,31.05,0.91,0.658,4
12,traffic light,6050124.109229628,2135940.479133544,109.4329082055366,4,5,0.159,108.46,0.95,0.736,4
13,traffic light,6050161.748856003,2136082.326449797,114.25312573874021,4,3,0.192,19.21,0.93,0.738,3
14,traffic light,6050171.446987388,2136152.58495472,105.56689840454573,4,3,0.315,36.96,0.9,0.635,2
15,traffic light,6050318.851582201,2136252.5651718443,104.72232597294128,4,778,0.276,30.18,0.91,0.559,3
16,traffic light,6050251.5235834485,2136254.262166774,106.28049461413248,4,3,0.254,50.83,0.92,0.646,3
17,traffic light,6050211.688467704,2136050.212988926,124.01287034216739,8,7,0.123,38.47,0.96,0.74,7
18,traffic light,6050243.025875969,2136278.6067618234,106.91511952268746,4,4,0.111,87.16,0.96,0.633,4
19,traffic light,6050242.916528749,2136229.047142626,106.30452717570469,8,12,0.108,28.9,0.96,0.611,7
20,traffic light,6050296.963141261,2136286.145098208,105.63929357683917,8,9,0.193,15.89,0.92,0.545,7
21,traffic light,6050249.31595257,2136273.5652406993,106.66289041580008,8,80,0.26,24.73,0.92,0.572,7
22,traffic light,6050256.8068503775,2136275.5981433922,106.5480503314662,8,20,0.258,30.62,0.92,0.555,6
23,traffic light,6050290.472326858,2136284.4350206745,105.89766561932127,8,8,0.039,16.49,0.97,0.549,8
24,traffic light,6050272.053447116,2136279.5869325683,106.23809518218205,8,7,0.127,22.87,0.95,0.548,7
25,traffic light,6050303.069968619,2136287.753037814,105.57416542777838,8,8,0.083,19.73,0.96,0.547,8
26,traffic light,6050298.048495147,2136337.5982032497,107.66508485897317,5,4,0.328,28.8,0.9,0.68,3
27,traffic light,6050307.24316784,2136690.923230682,111.23129920689077,4,3,0.228,38.75,0.93,0.61,4
28,traffic light,6050463.151733714,2136996.1888774503,118.27903362110492,4,3,0.229,16.34,0.91,0.572,3
29,traffic light,6050297.678280911,2137177.9609937724,127.64724998397773,7,6,0.299,24.28,0.91,0.648,5
30,traffic light,6050351.4628279945,2137087.480244342,118.43553081309118,7,6,0.297,32.42,0.91,0.656,5
31,traffic light,6050312.935118356,2137152.3078483967,125.16918896770153,7,6,0.326,28.44,0.9,0.637,5
32,traffic light,6050301.534142595,2137171.4598882366,126.94243542561004,7,6,0.323,31.1,0.9,0.641,4
33,traffic light,6050294.658724455,2137183.0490648197,128.2668234063712,7,6,0.243,23.9,0.92,0.625,6
34,traffic light,6050306.244792629,2137163.551009381,126.20873484385335,7,6,0.242,25.37,0.92,0.609,6
35,traffic light,6050356.088456361,2137079.6930771447,117.60441871532193,7,6,0.267,33.3,0.92,0.648,5
36,traffic light,6050325.435722366,2137237.6571004987,130.6251354727567,5,6,0.332,63.95,0.9,0.613,2
37,traffic light,6050377.350003535,2137051.8402120396,114.31211977777038,4,3,0.145,47.45,0.95,0.583,4
38,traffic light,6050362.984289436,2137103.2500365316,118.83271999809428,4,3,0.143,64.15,0.95,0.66,4
39,traffic light,6050348.95869712,2137153.505113668,123.35465172216625,5,6,0.295,62.66,0.91,0.679,3
40,traffic light,6050338.893751959,2137189.551283779,126.62844808328234,4,3,0.311,37.83,0.91,0.646,3
41,traffic light,6050365.521489141,2137094.1769617554,118.0610143507961,4,3,0.116,65.7,0.96,0.646,4
42,traffic light,6050345.9746651715,2137164.143697477,124.1772677574081,4,3,0.171,48.62,0.95,0.664,4
43,traffic light,6050434.239942502,2136999.050742503,115.05706864190293,5,5,0.307,74.82,0.91,0.604,3
44,traffic light,6050431.13434603,2137010.3582833894,115.05630682369274,4,3,0.215,23.31,0.93,0.684,3
45,traffic light,6050487.453657269,2137102.153651558,116.27203896107392,4,5,0.18,67.62,0.94,0.608,4
46,traffic light,6050525.414928215,2137147.4452819442,117.41511610322353,4,3,0.293,28.04,0.91,0.609,2
47,traffic light,6050464.382981704,2137081.696109907,116.51165392792588,4,4,0.284,41.83,0.91,0.622,2
48,traffic light,6050452.299560726,2137098.858016353,118.98489703228485,4,51,0.276,43.38,0.92,0.706,2
49,traffic light,6050547.784936361,2137256.345133595,117.89063833045479,4,3,0.308,63.97,0.91,0.618,3
50,traffic light,6050628.345523637,2137455.5676122713,120.65602850613328,4,3,0.206,15.9,0.92,0.583,4
51,traffic light,6050556.21690484,2137267.9043403007,118.07457371739045,4,3,0.171,66.9,0.95,0.605,4
52,traffic light,6050598.77323552,2137406.722292962,120.06853783915841,4,4,0.243,15.02,0.9,0.554,3
53,traffic light,6050594.315397667,2137416.9129694696,120.19920955945227,4,4,0.275,19.97,0.91,0.562,2
54,traffic light,6051279.535805726,2138657.4693124252,140.52303508552396,4,4,0.191,14.34,0.91,0.613,4
55,traffic light,6050955.238637098,2138589.7564511565,131.97386340998747,8,7,0.266,41.02,0.92,0.548,7
56,traffic light,6050919.646373356,2138539.577081917,136.5865214374428,8,54,0.27,36.86,0.92,0.663,6
57,traffic light,6051019.871403995,2138574.3417908316,133.29027756361322,4,3,0.281,78.97,0.91,0.739,2
58,traffic light,6051024.577706592,2138665.903168349,148.45754693793472,4,3,0.287,27.24,0.91,0.748,2
59,traffic light,6050911.416688681,2138543.489493112,131.5524587783427,4,3,0.332,52.08,0.9,0.731,2
60,traffic light,6050910.530723851,2138678.954311367,131.13911053391098,4,3,0.211,58.8,0.93,0.544,4
61,traffic light,6050905.320045724,2138613.034196059,130.75689922053496,4,153,0.266,21.94,0.91,0.677,2
62,traffic light,6050861.87737669,2138449.2714892714,128.3441302232557,4,4,0.266,83.17,0.92,0.733,3
63,traffic light,6050720.864349094,2138415.2267628633,129.17148858531775,4,8,0.297,94.39,0.91,0.686,2
64,traffic light,6050979.233932716,2138597.1064741407,132.39565921004044,8,7,0.193,16.77,0.92,0.573,7
65,traffic light,6051002.963987686,2138604.3699428155,132.77118804203587,8,7,0.195,15.49,0.92,0.577,7
66,traffic light,6051026.386940504,2138567.279597695,132.92619669565823,4,3,0.201,30.09,0.94,0.705,4
67,traffic light,6050890.475586092,2138507.2042606426,131.39826884847093,4,3,0.32,63.89,0.9,0.755,3
68,traffic light,6051088.128433274,2138523.2424421404,140.592721124466,4,4,0.314,27.48,0.9,0.83,2
69,traffic light,6051103.213657402,2138458.358331436,148.36089224618985,8,31,0.316,26.52,0.9,0.697,7
70,traffic light,6051162.18802167,2138618.13074383,136.8818953392965,4,5,0.264,23.93,0.92,0.554,4
71,traffic light,6050933.407176212,2138323.363104164,139.09943407709423,8,12,0.119,13.15,0.93,0.629,8
72,traffic light,6050935.55682165,2138324.2566674063,138.2947022404778,8,12,0.18,13.4,0.91,0.642,7
73,traffic light,6050891.122892783,2138258.3206681795,136.5044984786663,4,3,0.26,19.01,0.91,0.657,4
74,traffic light,6050887.973735573,2138296.0735843023,136.47501644632044,4,3,0.284,60.11,0.91,0.69,2
75,traffic light,6051045.945533953,2138509.022891884,139.32814938060528,4,5,0.256,46.6,0.92,0.802,3
76,traffic light,6051045.448352051,2138562.301457924,135.28414560123545,4,4,0.237,81.92,0.93,0.727,3
77,traffic light,6051086.011608692,2138602.8713667253,134.4549507651827,4,3,0.258,36.23,0.92,0.597,3
78,traffic light,6050984.900678999,2138592.5211893837,133.11369935430653,4,3,0.331,39.92,0.9,0.713,3
79,traffic light,6051050.632371598,2138657.5055228253,138.7551140091271,4,78,0.304,22.14,0.9,0.741,3
80,traffic light,6050910.526685508,2138582.3014187976,133.69845025770604,4,4,0.174,57.02,0.95,0.776,4
81,traffic light,6050924.154019581,2138619.231088205,133.9224200920619,4,3,0.313,46.32,0.91,0.79,2
82,traffic light,6050856.207542358,2138433.5874811606,129.1085489181669,4,3,0.268,43.39,0.92,0.737,3
83,traffic light,6050444.678179797,2137448.7746010013,124.83507334543337,8,19,0.104,15.85,0.95,0.629,8
84,traffic light,6050429.582681037,2137431.700269569,122.84130636267237,8,9,0.041,10.34,0.92,0.608,8
85,traffic light,6050426.9858478345,2137387.679633891,119.86651052048929,4,3,0.248,22.7,0.92,0.716,3
86,traffic light,6050443.550980679,2137359.7472541267,118.51127558735726,4,5,0.302,29.53,0.91,0.675,2
87,traffic light,6050414.514516665,2137281.2310227673,116.42843544952954,4,4,0.158,56.61,0.95,0.675,4
88,traffic light,6050385.434570025,2137165.4369903877,112.54920982574976,4,3,0.216,51.02,0.93,0.671,4
89,traffic light,6050395.681497896,2136996.0523335095,113.19738859416088,4,4,0.173,37.01,0.95,0.53,4
90,traffic light,6050294.3287720485,2136602.2339115166,115.69391186761787,4,3,0.167,27.55,0.95,0.626,4
91,traffic light,6050256.834337614,2136465.320070897,112.60453887001394,7,9,0.246,16.99,0.91,0.734,6
92,traffic light,6050189.743278405,2136409.0600657477,110.22376492637808,5,4,0.276,17.86,0.9,0.853,4
93,traffic light,6050222.032837801,2136369.0010726666,111.505889136157,4,3,0.308,45.64,0.91,0.858,4
94,traffic light,6050223.691807967,2136366.700322251,112.13166372193297,4,3,0.237,40.83,0.93,0.874,2
95,traffic light,6050226.958944418,2136412.7778673014,113.828195015486,4,8,0.269,27.52,0.92,0.806,2
96,traffic light,6050124.091397498,2136010.1901658387,111.36261039284226,4,4,0.321,88.75,0.9,0.699,2
97,traffic light,6050152.989973933,2135963.3522573593,104.68441181317938,4,5,0.194,93.79,0.94,0.603,4
98,traffic light,6049978.244528417,2135777.437466813,106.31546570199498,4,5,0.231,34.97,0.93,0.697,4
99,traffic light,6050076.145423981,2135822.699291238,100.38596468379163,4,3,0.185,47.67,0.94,0.702,4
100,traffic light,6050093.2802471565,2135708.6013738895,100.84678179187001,4,3,0.24,63.96,0.93,0.728,3
101,traffic light,6050034.611245388,2135836.8692001686,99.2344342250455,6,6,0.314,44.18,0.91,0.673,3
102,traffic light,6049964.58404152,2135666.6829899326,96.70088953989152,8,7,0.247,16.08,0.9,0.549,6
103,traffic light,6049943.052051014,2135657.8836876536,96.29697367320452,8,7,0.221,16.37,0.91,0.559,7
104,traffic light,6049999.716279065,2135613.9371054936,98.41215567770479,4,3,0.261,27.64,0.92,0.643,3
105,traffic light,6050036.850310675,2135924.938068094,99.26257042053959,4,3,0.215,52.55,0.93,0.645,2
