feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
1,utility pole,6050308.764163723,2135675.2473793565,99.56281836685226,4,4,0.289,42.2,0.91,0.753,3
2,utility pole,6050298.487878582,2136456.9076548894,112.17422525100122,4,5,0.215,71.86,0.93,0.709,4
3,utility pole,6049839.682946674,2135967.590698854,101.26283065050454,4,5,0.203,98.03,0.94,0.81,3
4,utility pole,6050104.493770878,2135863.031320409,107.28909125237146,8,8,0.3,31.37,0.91,0.633,6
5,utility pole,6049899.2658551,2135699.538623837,104.34580813587132,4,3,0.312,68.75,0.91,0.744,2
6,utility pole,6049694.844716511,2135438.623706986,104.37235447395774,4,4,0.309,38.1,0.91,0.755,2
7,utility pole,6049695.470353382,2135561.537023372,94.53455708591795,4,3,0.226,34.49,0.93,0.781,3
8,utility pole,6049987.475489141,2135603.7631293535,112.9680118457668,8,9,0.276,33.71,0.92,0.584,6
9,utility pole,6050110.568903602,2135876.818053814,108.08565086681911,8,8,0.322,30.22,0.9,0.636,6
10,utility pole,6050238.552597098,2135932.4038462206,99.36037892570732,8,53,0.143,14.21,0.93,0.731,7
11,utility pole,6050390.873983744,2136737.371191824,145.10817946945846,4,5,0.316,60.96,0.91,0.882,2
12,utility pole,6050357.150596678,2136731.3966820305,116.73138668272317,4,3,0.32,105.22,0.9,0.685,2
13,utility pole,6050305.15747153,2136707.754473397,122.41568741674621,4,4,0.329,72.15,0.9,0.805,2
14,utility pole,6050276.397014232,2136738.890047872,134.6750934627113,8,29,0.294,34.41,0.91,0.841,7
15,utility pole,6050049.3222933365,2136697.7707768986,116.27269032677194,4,3,0.288,75.36,0.91,0.841,3
16,utility pole,6050271.677928188,2136723.3955361904,112.88589691657774,4,39,0.288,81.0,0.91,0.801,2
17,utility pole,6050299.192301976,2136744.610292385,118.14722562054538,4,3,0.206,60.97,0.94,0.72,3
18,utility pole,6050071.960381239,2136666.164648718,111.34321957344049,4,3,0.268,90.69,0.92,0.815,3
19,utility pole,6050358.985698958,2136725.7643012223,117.08478773203811,4,3,0.212,70.69,0.93,0.696,3
20,utility pole,6050532.3821307225,2136984.525422026,119.98016564104688,4,3,0.234,15.48,0.91,0.576,4
21,utility pole,6050442.601880076,2137042.280831331,125.42607465678248,6,5,0.312,53.92,0.91,0.851,4
22,utility pole,6050727.115081371,2137092.119500608,119.41996934402678,4,3,0.261,113.28,0.92,0.725,2
23,utility pole,6050456.60903102,2137044.3214612002,127.91626957311253,5,4,0.154,67.16,0.95,0.837,5
24,utility pole,6050478.858264454,2137047.1340801986,132.16253716937337,4,3,0.271,83.3,0.92,0.827,3
25,utility pole,6050896.288215656,2137154.0010627043,122.46586272686783,4,4,0.241,101.87,0.93,0.647,4
26,utility pole,6050574.101678607,2136981.138293938,123.00786532683841,5,4,0.31,54.93,0.91,0.652,3
27,utility pole,6050466.816853239,2137314.88223484,120.58849447691689,7,11,0.255,33.68,0.92,0.654,5
28,utility pole,6050497.401627417,2136995.452434075,118.11154900714685,4,3,0.309,26.3,0.9,0.646,2
29,utility pole,6050468.05535964,2137326.896563249,152.8939736279463,8,13,0.306,28.63,0.91,0.727,5
30,utility pole,6050599.039044773,2137442.124586492,138.45662223765387,6,5,0.332,48.01,0.9,0.616,3
31,utility pole,6050827.08125529,2137993.2212620573,141.92225587910715,4,5,0.307,32.59,0.91,0.671,3
32,utility pole,6051368.644661722,2138649.645105695,149.4577852118023,4,6,0.206,20.39,0.93,0.842,4
33,utility pole,6051244.6165346475,2138651.456136318,140.55127542098637,5,6,0.233,16.66,0.91,0.721,4
34,utility pole,6050969.727330659,2138539.674180317,133.88298998911247,7,6,0.302,24.2,0.9,0.579,4
35,utility pole,6050932.514654154,2138332.4432300995,130.67430409353244,4,8,0.244,39.61,0.92,0.824,4
36,utility pole,6051109.695018336,2138596.677455281,135.57774565898714,4,3,0.262,16.99,0.9,0.658,3
37,utility pole,6050705.926273997,2138369.1552932067,135.6350524972717,4,4,0.322,74.25,0.9,0.585,2
38,utility pole,6050146.756712639,2137680.671904712,114.49552677589396,5,14,0.327,99.92,0.9,0.807,3
39,utility pole,6050120.184540991,2137670.728059267,113.58121125884058,4,4,0.299,69.92,0.91,0.843,2
40,utility pole,6050388.53513662,2137365.3002123274,118.84104734997638,4,95,0.316,50.62,0.9,0.635,3
41,utility pole,6050386.32475664,2137278.0288338773,124.02478374857564,7,10,0.317,30.67,0.9,0.657,5
42,utility pole,6050277.981754971,2136485.429804072,110.08612085762402,4,5,0.254,51.73,0.92,0.708,2
43,utility pole,6050293.3372612335,2136760.0389834894,137.50091211772587,4,4,0.199,14.84,0.91,0.757,4
44,utility pole,6050542.0162135195,2137316.213137004,120.15674390354695,4,3,0.142,17.17,0.94,0.68,4
45,utility pole,6050408.63718897,2135102.7662257627,107.76539684930906,4,4,0.289,32.63,0.91,0.771,3
46,utility pole,6050503.0297523895,2137331.30313676,119.08193434326763,8,12,0.262,38.28,0.92,0.646,5
47,utility pole,6050475.312568007,2137318.7587004732,120.25404065672019,6,12,0.266,26.2,0.92,0.658,4
48,utility pole,6050327.52093519,2135114.7983030346,100.54696314129588,4,3,0.315,49.77,0.91,0.777,3
